GreenPower Pest Control,Dallas,TX,Dallas,Pest Control,10,$500K-$2M,Owner,Owner
Addison Pest Control of Texas,Dallas,TX,Dallas,Pest Control,12,$500K-$2M,Owner,Owner
All-Safe Pest & Termite,Dallas,TX,Dallas,Pest Control,15,$500K-$2M,Owner,Owner
Dynasty Pest Control,Dallas,TX,Dallas,Pest Control,8,$500K-$2M,Owner,Owner
CLW Landscape,Houston,TX,Houston,Landscaping,10,$500K-$2M,Owner,Owner
Absolute Lawn Care and Landscaping,Houston,TX,Houston,Landscaping,12,$500K-$2M,Owner,Owner
Hogue Landscape Services,Houston,TX,Houston,Landscaping,10,$500K-$2M,Owner,Owner
Moss Landscaping,Houston,TX,Houston,Landscaping,15,$500K-$2M,Owner,Owner
Houston Landscape Pros,Houston,TX,Houston,Landscaping,8,$500K-$2M,Owner,Owner
SWP Landscaping,Houston,TX,Houston,Landscaping,10,$500K-$2M,Owner,Owner
Fernandez Landscapes,Houston,TX,Houston,Landscaping,8,$500K-$2M,Owner,Owner
Georgia Facility Services,Atlanta,GA,Atlanta,Commercial Cleaning,12,$500K-$2M,Owner,Owner
SmartDog Commercial Cleaning,Atlanta,GA,Atlanta,Commercial Cleaning,10,$500K-$2M,Owner,Owner
Integrity Janitorial Cleaning,Atlanta,GA,Atlanta,Commercial Cleaning,15,$500K-$2M,Owner,Owner
Cleanstar National,Atlanta,GA,Atlanta,Commercial Cleaning,18,$500K-$2M,Owner,Owner
Jenkins Restorations,Charlotte,NC,Charlotte,Restoration,15,$1M-$3M,Owner,Owner
ATI Restoration Charlotte,Charlotte,NC,Charlotte,Restoration,12,$1M-$3M,Owner,Owner
STOP Restoration Charlotte,Charlotte,NC,Charlotte,Restoration,10,$1M-$3M,Owner,Owner
RestoPros of Charlotte,Charlotte,NC,Charlotte,Restoration,8,$1M-$3M,Owner,Owner
United Water Restoration Charlotte,Charlotte,NC,Charlotte,Restoration,10,$1M-$3M,Owner,Owner
Providence Restoration Group,Charlotte,NC,Charlotte,Restoration,12,$1M-$3M,Owner,Owner
Reiner Group Inc,Fair Lawn,NJ,Northern New Jersey,HVAC Contractor,12,$1M-$5M,Owner,Owner
Whalen & Ives Inc,Northern NJ,NJ,Northern New Jersey,HVAC Contractor,10,$1M-$5M,Owner,Owner
Prestige Air Heating & Cooling,Bergen County,NJ,Northern New Jersey,HVAC Contractor,8,$1M-$5M,Owner,Owner
Vanguard Service NJ,Union County,NJ,Northern New Jersey,HVAC Contractor,8,$1M-$5M,Owner,Owner
Unitemp MDI,Northern NJ,NJ,Northern New Jersey,HVAC Contractor,15,$1M-$5M,Owner,Owner
Bay Area Plumbing Inc,Tampa,FL,Tampa,Plumbing Contractor,10,$800K-$3M,Owner,Owner
The Clean Plumbers,Tampa,FL,Tampa,Plumbing Contractor,12,$800K-$3M,Owner,Owner
Experts Plumbing Services,Tampa,FL,Tampa,Plumbing Contractor,8,$800K-$3M,Owner,Owner
Believe Plumbing,Tampa,FL,Tampa,Plumbing Contractor,8,$800K-$3M,Owner,Owner
McNatt Plumbing,Tampa,FL,Tampa,Plumbing Contractor,10,$800K-$3M,Owner,Owner
RENCO Roofing,Phoenix,AZ,Phoenix,Roofing Contractor,12,$1M-$5M,Owner,Owner
Phoenix Roofing and Repair,Phoenix,AZ,Phoenix,Roofing Contractor,10,$1M-$5M,Owner,Owner
Allstate Roofing Inc,Phoenix,AZ,Phoenix,Roofing Contractor,12,$1M-$5M,Chad Thomas,Owner
Scott Roofing Company,Phoenix,AZ,Phoenix,Roofing Contractor,18,$1M-$5M,Owner,Owner
Right Way Roofing,Phoenix,AZ,Phoenix,Roofing Contractor,10,$1M-$5M,Owner,Owner
Rowland Pest Management,Orlando,FL,Orlando,Pest Control,8,$500K-$2M,Owner,Owner
All American Pest Control,Orlando,FL,Orlando,Pest Control,10,$500K-$2M,Owner,Owner
Florida Pest Control Orlando,Orlando,FL,Orlando,Pest Control,12,$500K-$2M,Owner,Owner
Turner Pest Control Orlando,Orlando,FL,Orlando,Pest Control,15,$500K-$2M,Owner,Owner
Massey Services,Winter Park,FL,Orlando,Pest Control,18,$500K-$2M,Owner,Owner
Mile High Landscaping,Denver,CO,Denver,Landscaping,10,$500K-$2M,Owner,Owner
Down to Earth Landscaping,Highlands Ranch,CO,Denver,Landscaping,8,$500K-$2M,Owner,Owner
Colorado Landscape Denver,Denver,CO,Denver,Landscaping,10,$500K-$2M,Owner,Owner
Denver Sprinkler and Landscape Inc,Denver,CO,Denver,Landscaping,8,$500K-$2M,Owner,Owner
My Sons Landscaping & Fencing,Denver,CO,Denver,Landscaping,8,$500K-$2M,Owner,Owner
G2.0 Electrical Contracting,Los Angeles,CA,Los Angeles,Electrical Contractor,10,$1M-$4M,Owner,Owner
Tercero Inc,Los Angeles,CA,Los Angeles,Electrical Contractor,12,$1M-$4M,Owner,Owner
Bozem Electric,Los Angeles,CA,Los Angeles,Electrical Contractor,15,$1M-$4M,Owner,Owner
AMTEK Construction,Los Angeles,CA,Los Angeles,Electrical Contractor,12,$1M-$4M,Owner,Owner
Champion Cleaning,Boston,MA,Boston,Commercial Cleaning,12,$500K-$2M,Owner,Owner
Mop in Hand,Boston,MA,Boston,Commercial Cleaning,10,$500K-$2M,Owner,Owner
The Boston Maids,Boston,MA,Boston,Commercial Cleaning,15,$500K-$2M,Owner,Owner
All Pro Cleaning Systems,Boston,MA,Boston,Commercial Cleaning,12,$500K-$2M,Owner,Owner
CPR Restoration Pennsylvania,Philadelphia,PA,Philadelphia,Restoration,10,$1M-$3M,Owner,Owner
Royal Water Damage Restoration,Philadelphia,PA,Philadelphia,Restoration,8,$1M-$3M,Owner,Owner
First Choice Restoration,Philadelphia,PA,Philadelphia,Restoration,10,$1M-$3M,Owner,Owner
Atlantic Power Cleaning,Philadelphia,PA,Philadelphia,Restoration,8,$1M-$3M,Owner,Owner
Schmitt Heating & Air Conditioning,San Francisco,CA,San Francisco Bay Area,HVAC Contractor,12,$1M-$5M,Owner,Owner
ABCO Mechanical Contractors,San Francisco,CA,San Francisco Bay Area,HVAC Contractor,15,$1M-$5M,Owner,Owner
Cabrillo Plumbing Heating & Air,San Francisco,CA,San Francisco Bay Area,HVAC Contractor,12,$1M-$5M,Owner,Owner
Bay Area Climate Control,Oakland,CA,San Francisco Bay Area,HVAC Contractor,8,$1M-$5M,Owner,Owner
Finest Heating & Air,San Francisco,CA,San Francisco Bay Area,HVAC Contractor,8,$1M-$5M,Owner,Owner
FRY Plumbing Heating & AC,Washington,DC,Washington DC,Plumbing Contractor,12,$800K-$3M,Owner,Owner
Brookland Plumbing,Washington,DC,Washington DC,Plumbing Contractor,6,$800K-$3M,Owner,Owner
The Drain Guys,Washington,DC,Washington DC,Plumbing Contractor,8,$800K-$3M,Jay,Owner
Cardinal Plumbing Heating & Air,Washington,DC,Washington DC,Plumbing Contractor,12,$800K-$3M,Owner,Owner
Plumber in DC,Washington,DC,Washington DC,Plumbing Contractor,6,$800K-$3M,Owner,Owner
Orange Electrical Contractors Inc,Orange,CA,Orange County,Electrical Contractor,12,$1M-$4M,Owner,Owner
JAS Electrical,Orange County,CA,Orange County,Electrical Contractor,10,$1M-$4M,Owner,Owner
Pro Power Services Inc,Orange County,CA,Orange County,Electrical Contractor,12,$1M-$4M,Owner,Owner
CZ Electric,Orange County,CA,Orange County,Electrical Contractor,10,$1M-$4M,Owner,Owner
Hackney Electric Inc,Orange County,CA,Orange County,Electrical Contractor,10,$1M-$4M,Owner,Owner
JEC Electric Services,Anaheim,CA,Orange County,Electrical Contractor,12,$1M-$4M,Owner,Owner
Ascent Roofing,San Diego,CA,San Diego,Roofing Contractor,10,$1M-$5M,Owner,Owner
San Diego Roofing Inc,San Diego,CA,San Diego,Roofing Contractor,15,$1M-$5M,Owner,Owner
Diamond Roofing SD,San Diego,CA,San Diego,Roofing Contractor,10,$1M-$5M,Owner,Owner
Schott Roofing & Construction,San Diego,CA,San Diego,Roofing Contractor,12,$1M-$5M,Owner,Owner
California First Roofing,San Diego,CA,San Diego,Roofing Contractor,10,$1M-$5M,Owner,Owner
TAG Roofing & Solar,San Diego,CA,San Diego,Roofing Contractor,12,$1M-$5M,Owner,Owner
Plunketts Pest Control,Minneapolis,MN,Minneapolis,Pest Control,15,$500K-$2M,Owner,Owner
Rainbow Pest Experts,Minneapolis,MN,Minneapolis,Pest Control,8,$500K-$2M,Owner,Owner
Paffys Pest Control,Minneapolis,MN,Minneapolis,Pest Control,8,$500K-$2M,Owner,Owner
Adams Pest Control,Minneapolis,MN,Minneapolis,Pest Control,12,$500K-$2M,Owner,Owner
Be There Pest Control,Minneapolis,MN,Minneapolis,Pest Control,6,$500K-$2M,Owner,Owner
Abra Kadabra Environmental,Minneapolis,MN,Minneapolis,Pest Control,8,$500K-$2M,Owner,Owner
Custom Landscapes Charlotte,Charlotte,NC,Charlotte,Landscaping,12,$500K-$2M,Owner,Owner
The Plant Guys,Charlotte,NC,Charlotte,Landscaping,10,$500K-$2M,Owner,Owner
MetroGreenscape,Charlotte,NC,Charlotte,Landscaping,15,$500K-$2M,Owner,Owner
