Edward J. Colville LLC,Scotch Plains,NJ,Northern New Jersey,CPA Firm,6,$500K-$1.5M,Edward J. Colville,Owner
BergerCPAFirst,New Jersey,NJ,Northern New Jersey,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Botwinick & Company LLC,Hackensack,NJ,Northern New Jersey,CPA Firm,15,$1M-$2M,Managing Partner,Managing Partner
Blankenship CPA Group PLLC,Nashville,TN,Nashville,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner
PN CPAs,Nashville,TN,Nashville,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
Millman CPA Strategic Solutions PC,Nashville,TN,Nashville,CPA Firm,6,$500K-$1.5M,Lisa Millman,Owner
Kawatra CPA,Nashville,TN,Nashville,CPA Firm,7,$500K-$1.5M,Managing Partner,Managing Partner
Hildreth & Associates CPA,Brentwood,TN,Nashville,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Evan Hutcheson CPA LLC,Nashville,TN,Nashville,CPA Firm,5,$500K-$1M,Evan Hutcheson,Owner
Bellenfant PLLC,Nashville,TN,Nashville,CPA Firm,8,$500K-$1.5M,Managing Partner,Managing Partner
Warady & Davis LLP,Chicago,IL,Chicago,CPA Firm,15,$1M-$2M,Managing Partner,Managing Partner
John Joseph Griffin CPA PC,Chicago,IL,Chicago,CPA Firm,7,$500K-$1.5M,John Joseph Griffin,Owner
Stenger Tax Advisory,Chicago,IL,Chicago,CPA Firm,6,$500K-$1.5M,Managing Partner,Managing Partner
The A.C.T. Group LLC,Chicago,IL,Chicago,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Susan S. Lewis CPA,Chicago,IL,Chicago,CPA Firm,6,$500K-$1.5M,Susan S. Lewis,Owner
Perkins Dexter Sinopoli & Hamm PC,Dallas,TX,Dallas,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner
L&H CPAs and Advisors,Dallas,TX,Dallas,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
Gurian CPA Firm,Dallas,TX,Dallas,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Armstrong Accountancy,Dallas,TX,Dallas,CPA Firm,7,$500K-$1.5M,Managing Partner,Managing Partner
Patten & Company,Dallas,TX,Dallas,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Cooper CPA Group,Houston,TX,Houston,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
Hooker CPA,Houston,TX,Houston,CPA Firm,6,$500K-$1.5M,Managing Partner,Managing Partner
JAG CPA & Co,Houston,TX,Houston,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
M&B CPAs,Houston,TX,Houston,CPA Firm,7,$500K-$1.5M,Managing Partner,Managing Partner
RP Jones CPA,Houston,TX,Houston,CPA Firm,6,$500K-$1.5M,R.P. Jones,Owner
Ann Thomas CPA PC,Houston,TX,Houston,CPA Firm,7,$500K-$1.5M,Ann Thomas,Owner
Delerme CPA,Atlanta,GA,Atlanta,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Chester & Daniels LLC,Atlanta,GA,Atlanta,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
Eliseo CPA LLC,Atlanta,GA,Atlanta,CPA Firm,7,$500K-$1.5M,Managing Partner,Managing Partner
Fricke & Associates LLC,Peachtree Corners,GA,Atlanta,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
Massey and Company CPA,Atlanta,GA,Atlanta,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Manay CPA,Atlanta,GA,Atlanta,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner
LB&J Certified Public Accountants,Charlotte,NC,Charlotte,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
Scharf Pera & Co PLLC,Charlotte,NC,Charlotte,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner
Parsons CPA PLLC,Charlotte,NC,Charlotte,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
David Love CPA,Charlotte,NC,Charlotte,CPA Firm,6,$500K-$1.5M,David Love,Owner
Josh Cahan CPA,Charlotte,NC,Charlotte,CPA Firm,7,$500K-$1.5M,Josh Cahan,Owner
Fisher PA,Charlotte,NC,Charlotte,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
Rivero Gordimer & Company,Tampa,FL,Tampa,CPA Firm,15,$1M-$2M,Managing Partner,Managing Partner
Waters CPA Group,Tampa,FL,Tampa,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
Fontana CPAs,Tampa,FL,Tampa,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
CPA Tampa,Largo,FL,Tampa,CPA Firm,6,$500K-$1.5M,Managing Partner,Managing Partner
Baldwin Accounting CPA,Orlando,FL,Orlando,CPA Firm,10,$800K-$2M,Managing Partner,Managing Partner
KDK Accountancy,Orlando,FL,Orlando,CPA Firm,7,$500K-$1.5M,Managing Partner,Managing Partner
CPA Accounting & Tax Experts,Orlando,FL,Orlando,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner
UpFront CPA & Bookkeeping,Orlando,FL,Orlando,CPA Firm,7,$500K-$1.5M,Managing Partner,Managing Partner
Jaime Santiago CPA,Orlando,FL,Orlando,CPA Firm,6,$500K-$1.5M,Jaime Santiago,Owner
Larry B. Betts CPA,Phoenix,AZ,Phoenix,CPA Firm,6,$500K-$1.5M,Larry B. Betts,Owner
K.A. Lindow CPA PC,Phoenix,AZ,Phoenix,CPA Firm,8,$500K-$2M,K.A. Lindow,Owner
XZ CPA,Phoenix,AZ,Phoenix,CPA Firm,6,$500K-$1.5M,Managing Partner,Managing Partner
Thomas S Holly CPA PLLC,Phoenix,AZ,Phoenix,CPA Firm,7,$500K-$1.5M,Thomas S. Holly,Owner
