company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title
Minerva Ventures LLC,New York,NY,New York City,Single Family Office,8,$2M-$10M,Robert Bertagna,Principal
LeFort Interests LLC,New York,NY,New York City,Single Family Office,6,$2M-$10M,Principal,Managing Partner
Independent Family Office (IFO),Albany,NY,New York City,Multi-Family Office,12,$2M-$10M,Principal,Managing Director
LAH Investments LLC,New York,NY,New York City,Single Family Office,8,$2M-$10M,Principal,Managing Partner
Callan Family Office,New York,NY,New York City,Multi-Family Office,15,$5M-$10M,Principal,Managing Partner
CV Advisors,Miami,FL,Miami,Multi-Family Office,18,$5M-$10M,Principal,Managing Partner
Omnia Family Wealth,Miami,FL,Miami,Multi-Family Office,15,$5M-$10M,Principal,Managing Partner
1650 Wealth Management,Lauderdale by the Sea,FL,Miami,Wealth Management Firm,8,$1M-$5M,Principal,Managing Partner
Tiempo Capital Partners,Miami,FL,Miami,Multi-Family Office,10,$2M-$10M,Principal,Managing Partner
Element Pointe Family Office,Miami,FL,Miami,Multi-Family Office,12,$2M-$10M,Principal,Managing Partner
FitzRoy Investment Advisors,Miami,FL,Miami,Multi-Family Office,8,$2M-$10M,Principal,Managing Partner
WE Family Offices,Miami,FL,Miami,Multi-Family Office,18,$5M-$10M,Principal,Managing Partner
Steph's Bookkeeping,Chicago,IL,Chicago,Bookkeeping Firm,8,$200K-$800K,Steph,Owner
Chicago Accounting Professionals,Chicago,IL,Chicago,Bookkeeping Firm,10,$200K-$800K,Principal,Owner
TJD Accounting & Tax,Chicago,IL,Chicago,Bookkeeping Firm,6,$200K-$800K,Principal,Owner
STE Corporation,Chicago,IL,Chicago,Bookkeeping Firm,12,$200K-$800K,Principal,Owner
Stonebriar Mortgage,Dallas,TX,Dallas,Mortgage Brokerage,10,$500K-$2M,Principal,Owner
Tatom Lending,Dallas,TX,Dallas,Mortgage Brokerage,8,$500K-$2M,Principal,Owner
The Tuttle Group,Dallas,TX,Dallas,Mortgage Brokerage,12,$500K-$2M,Principal,Owner
MPS Mortgage LLC,Dallas,TX,Dallas,Mortgage Brokerage,6,$500K-$2M,Principal,Owner
Venture Growth Partners,Atlanta,GA,Atlanta,Fractional CFO Firm,15,$500K-$2M,Principal,Managing Partner
The Wren Group,Atlanta,GA,Atlanta,Fractional CFO Firm,8,$500K-$2M,Principal,Managing Partner
Atlanta Business Services,Atlanta,GA,Atlanta,Fractional CFO Firm,10,$500K-$2M,Principal,Owner
McCracken Alliance,Atlanta,GA,Atlanta,Fractional CFO Firm,12,$500K-$2M,Principal,Managing Partner
Smarter HR Solutions,Houston,TX,Houston,HR Consulting Firm,10,$500K-$2M,Principal,Owner
Achilles Group,Houston,TX,Houston,HR Consulting Firm,15,$500K-$2M,Principal,Managing Partner
HR Innovex Consulting Partners,Houston,TX,Houston,HR Consulting Firm,8,$500K-$2M,Principal,Owner
Moss Consulting,Houston,TX,Houston,HR Consulting Firm,12,$500K-$2M,Principal,Owner
Innova HR Solutions,Houston,TX,Houston,HR Consulting Firm,10,$500K-$2M,Principal,Owner
Heywood Community Management,Phoenix,AZ,Phoenix,HOA Management Firm,12,$500K-$3M,Principal,Owner
Brown Community Management,Phoenix,AZ,Phoenix,HOA Management Firm,18,$500K-$3M,Principal,Owner
City Property Management,Phoenix,AZ,Phoenix,HOA Management Firm,20,$1M-$3M,Principal,Owner
TriStar and Associates,Nashville,TN,Nashville,Tax Preparation Firm,8,$300K-$1M,Principal,Owner
Mike Dodd CPA,Nashville,TN,Nashville,Tax Preparation Firm,6,$300K-$1M,Mike Dodd,Owner
Drennan & Associates PLLC,Nashville,TN,Nashville,Tax Preparation Firm,8,$300K-$1M,Principal,Owner
Advanced Tax & Income Services,Nashville,TN,Nashville,Tax Preparation Firm,10,$300K-$1M,Principal,Owner
Evan Hutcheson CPA LLC,Nashville,TN,Nashville,Tax Preparation Firm,5,$300K-$1M,Evan Hutcheson,Owner
