company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title
Larchmont Dental Associates,Los Angeles,CA,Los Angeles,Dental Practice,8,$1M-$2M,Owner,Dentist/Owner
Cal Dental Group,Los Angeles,CA,Los Angeles,Dental Practice,10,$1.5M-$3M,Owner,Dentist/Owner
Personal Dental Office,Los Angeles,CA,Los Angeles,Dental Practice,7,$1M-$2M,Owner,Dentist/Owner
Washington Dental,Los Angeles,CA,Los Angeles,Dental Practice,12,$2M-$4M,Owner,Dentist/Owner
Brody Pennell Heating & Air Conditioning,Los Angeles,CA,Los Angeles,HVAC Contractor,18,$3M-$6M,Owner,President
Lions Heating & Air,Los Angeles,CA,Los Angeles,HVAC Contractor,8,$1M-$2.5M,Owner,Owner
LA Heating & Air Conditioning,Los Angeles,CA,Los Angeles,HVAC Contractor,12,$2M-$4M,Owner,Owner
Alturas Contractors,Los Angeles,CA,Los Angeles,HVAC Contractor,10,$1.5M-$3M,Owner,Owner
Marathon HVAC,Los Angeles,CA,Los Angeles,HVAC Contractor,10,$1.5M-$3M,Owner,Owner
John W. Weldon CPA,Los Angeles,CA,Los Angeles,CPA Firm,6,$800K-$1.5M,John Weldon,CPA/Owner
Lalea & Black,Los Angeles,CA,Los Angeles,CPA Firm,8,$1M-$2M,Owner,Managing Partner
Accuretta Inc. CPA,Los Angeles,CA,Los Angeles,CPA Firm,6,$700K-$1.5M,Owner,CPA/Owner
Jarrar & Associates CPAs,Los Angeles,CA,Los Angeles,CPA Firm,10,$1.2M-$2.5M,Owner,Managing Partner
Gerber & Company,Los Angeles,CA,Los Angeles,CPA Firm,12,$1.5M-$3M,Owner,Managing Partner
Robert Hall & Associates,Los Angeles,CA,Los Angeles,CPA Firm,15,$2M-$4M,Owner,Managing Partner
Red Lilly Plumbing,Los Angeles,CA,Los Angeles,Plumbing Contractor,15,$2.5M-$5M,Owner,President
Ritz Plumbing,Los Angeles,CA,Los Angeles,Plumbing Contractor,12,$2M-$4M,Owner,Owner
Mr. Speedy Plumbing,Los Angeles,CA,Los Angeles,Plumbing Contractor,10,$1.5M-$3M,Owner,Owner
Boss Plumbing,Los Angeles,CA,Los Angeles,Plumbing Contractor,8,$1M-$2.5M,Owner,Owner
EZ Roth Plumbing & Heating,Los Angeles,CA,Los Angeles,Plumbing Contractor,10,$1.5M-$3M,Owner,Owner
A-1 Total Service Plumbing,Los Angeles,CA,Los Angeles,Plumbing Contractor,10,$1.5M-$3M,Owner,Owner
Law Offices of David A. Shapiro,Los Angeles,CA,Los Angeles,Law Firm - Estate,6,$800K-$1.5M,David A. Shapiro,Attorney/Owner
Josh Wang Law,Los Angeles,CA,Los Angeles,Law Firm - Estate,5,$600K-$1.2M,Josh Wang,Attorney/Owner
FMBK Law LLP,Los Angeles,CA,Los Angeles,Law Firm - Family/Estate,12,$2M-$4M,Owner,Managing Partner
Singh Law Firm,Los Angeles,CA,Los Angeles,Law Firm - Estate,7,$900K-$1.8M,Owner,Attorney/Owner
Camisassa Law Group,Los Angeles,CA,Los Angeles,Law Firm - Immigration,8,$1M-$2M,Owner,Attorney/Owner
Romben Law APC,Los Angeles,CA,Los Angeles,Law Firm - Immigration,6,$800K-$1.5M,Owner,Attorney/Owner
Blaker & Granet LLP,Los Angeles,CA,Los Angeles,Law Firm - Immigration,8,$1M-$2M,Owner,Managing Partner
McGee Lerer & Associates,Los Angeles,CA,Los Angeles,Law Firm - Personal Injury,10,$1.5M-$3M,Owner,Managing Partner
Cohen & Marzban,Los Angeles,CA,Los Angeles,Law Firm - Personal Injury,8,$1.2M-$2.5M,Bob Cohen,Managing Partner
Farzam Law Firm,Los Angeles,CA,Los Angeles,Law Firm - Personal Injury,7,$1M-$2M,Owner,Attorney/Owner
BANA Law,Los Angeles,CA,Los Angeles,Law Firm - Personal Injury,6,$800K-$1.5M,Owner,Attorney/Owner
Keybox Properties,Los Angeles,CA,Los Angeles,Property Management,8,$1M-$2M,Owner,Owner/Broker
Hawk Management,Los Angeles,CA,Los Angeles,Property Management,6,$800K-$1.5M,Owner,Owner
Glaser Property Management,Los Angeles,CA,Los Angeles,Property Management,8,$1M-$2M,Owner,Owner
Los Angeles Property Management Group,Los Angeles,CA,Los Angeles,Property Management,12,$1.5M-$3M,Owner,Owner/Broker
MedBeautyLA,Los Angeles,CA,Los Angeles,Med Spa,8,$1M-$2.5M,Dr. Lori Aliksanian,Medical Director/Owner
Renouveau Med Spa,Los Angeles,CA,Los Angeles,Med Spa,10,$1.2M-$2.5M,Owner,Medical Director
Cienega Med Spa,Los Angeles,CA,Los Angeles,Med Spa,7,$900K-$2M,Owner,Owner
Victoria Med Spa,Los Angeles,CA,Los Angeles,Med Spa,6,$800K-$1.8M,Owner,Owner
Reliable Staffing Los Angeles,Los Angeles,CA,Los Angeles,Staffing Agency,12,$2M-$5M,Owner,Owner/Manager
Great Hire Staffing,Los Angeles,CA,Los Angeles,Staffing Agency,15,$3M-$7M,Owner,Owner
Los Angeles Insurance Brokerage,Los Angeles,CA,Los Angeles,Insurance Brokerage,8,$1M-$2.5M,Owner,Principal Broker
Caulfield Insurance Services,Los Angeles,CA,Los Angeles,Insurance Brokerage,6,$800K-$1.5M,Owner,Owner/Broker
J. Morey Company Inc.,Los Angeles,CA,Los Angeles,Insurance Brokerage,10,$1.5M-$3M,Owner,President
Bannister & Associates Insurance,Los Angeles,CA,Los Angeles,Insurance Brokerage,7,$1M-$2M,Owner,Owner/Broker
SF Dental Group,San Francisco,CA,San Francisco Bay Area,Dental Practice,10,$1.5M-$3M,Owner,Dentist/Owner
Studio Dental,San Francisco,CA,San Francisco Bay Area,Dental Practice,8,$1.2M-$2.5M,Owner,Dentist/Owner
San Francisco Dental Care,San Francisco,CA,San Francisco Bay Area,Dental Practice,7,$1M-$2M,Owner,Dentist/Owner
The Dental Practice SF,San Francisco,CA,San Francisco Bay Area,Dental Practice,6,$1M-$2M,Owner,Dentist/Owner
Zen Dental Studio,San Francisco,CA,San Francisco Bay Area,Dental Practice,8,$1.2M-$2.5M,Owner,Dentist/Owner
Schmitt Heating & Air Conditioning,San Francisco,CA,San Francisco Bay Area,HVAC Contractor,15,$3M-$6M,Owner,President
Cabrillo Plumbing Heating & Air,San Francisco,CA,San Francisco Bay Area,HVAC Contractor,18,$3.5M-$7M,Owner,Owner
AC Heating and Cooling Service Inc,San Francisco,CA,San Francisco Bay Area,HVAC Contractor,10,$1.5M-$3M,Owner,Owner
Bay Area Mechanical,San Francisco,CA,San Francisco Bay Area,HVAC Contractor,12,$2M-$4M,Owner,Owner
Finest Heating & Air,San Francisco,CA,San Francisco Bay Area,HVAC Contractor,8,$1.2M-$2.5M,Owner,Owner
Basta & Company CPA,San Francisco,CA,San Francisco Bay Area,CPA Firm,8,$1M-$2M,Owner,Managing Partner
Safe Harbor CPA,San Francisco,CA,San Francisco Bay Area,CPA Firm,10,$1.5M-$3M,Owner,Managing Partner
B.O.L. Global Inc.,San Francisco,CA,San Francisco Bay Area,CPA Firm,7,$900K-$1.8M,Owner,CPA/Owner
Frank Giovannoni CPA,San Francisco,CA,San Francisco Bay Area,CPA Firm,6,$700K-$1.5M,Frank Giovannoni,CPA/Owner
