company_name,city,state,website,email_found
Atlanta Dental Center,Atlanta,GA,atlantadentalcenter.com,info@atlantadentalcenter.com
Atlanta Dental Studio,Atlanta,GA,atldentalstudio.com,N/A
Ponce Dental Studio,Atlanta,GA,poncedentalstudio.com,N/A
Atlanta Dental Spa,Atlanta,GA,atlantadentalspa.com,info@atlantadentalspa.com
Henderson Mill Dental Care,Atlanta,GA,hendersonmilldentalcare.com,N/A
ELLEMES Medical Spa,Atlanta,GA,ellemesmedspa.com,info@ellemesmedspa.com
Atlanta MediSpa,Atlanta,GA,atlantamedispa.com,N/A
Radiance Medspa,Atlanta,GA,radiancemedspaatlanta.com,N/A
Paces Ferry Veterinary Clinic,Atlanta,GA,pacesvet.com,records@pacesvet.com
Gentry Dental,Charlotte,NC,gentrydentalcharlotte.com,info@gentrydentalcharlotte.com
Park Crossing Dentistry,Charlotte,NC,parkcrossingdentistry.com,N/A
Keith Clinic,Charlotte,NC,keithclinic.com,N/A
Carlisle Chiropractic Clinic,Charlotte,NC,carlislechiropracticclinic.com,N/A
Piedmont EyeCare Associates,Charlotte,NC,charlotteoptometry.com,N/A
Innovative Eye Care,Charlotte,NC,innovativeeyecare.net,N/A
Charlotte Skin and Laser,Charlotte,NC,charlotteskinandlaser.com,N/A
Dermatology Specialists of Charlotte,Charlotte,NC,dscmd.com,N/A
Dental Office of Tampa,Tampa,FL,dentalofficeoftampa.com,dentalofficeoftampa@gmail.com
Jackson Dental PA,Tampa,FL,jacksondentaltampa.com,N/A
Heights Dental Tampa,Tampa,FL,heightsdentaltampa.com,office@heightsdentaltampa.com
New Tampa Smiles,Tampa,FL,newtampasmile.com,N/A
South Tampa Dentistry,Tampa,FL,southtampadentistry.com,N/A
Vivia MedSpa,Tampa,FL,viviamedspatampa.com,info@viviamedspatampa.com
Aspire MedSpa and Beauty Bar,Tampa,FL,aspiremedspas.com,N/A
Fit4Life Physical Therapy,Tampa,FL,fit4lifetampa.com,N/A
Modern Dermatology,Tampa,FL,themodernderm.com,info@themodernderm.com
Skin Health Forever,Tampa,FL,skinhealthforever.com,N/A
Koyfman Dental,Orlando,FL,koyfmandental.com,N/A
Celine Med Spa,Orlando,FL,celinemedspa.com,N/A
Bloom Aesthetics,Orlando,FL,bloomaestheticsfl.com,N/A
Healthy Glow Med Spa,Orlando,FL,healthyglowmedspa.com,N/A
Solterra Dentistry,Phoenix,AZ,solterradentistry.com,N/A
Uptown Medispa,Phoenix,AZ,uptownmedispa.com,N/A
Med 44 Arcadia,Phoenix,AZ,med44arcadia.com,N/A
CAS Chiropractic Center,Phoenix,AZ,caschiro.com,N/A
Arizona Life Chiropractic Center,Phoenix,AZ,arizonalifechiropractic.com,azlifechiro@msn.com
Shea Chiropractic,Phoenix,AZ,sheachiropracticclinic.com,N/A
TOPS Physical Therapy,Phoenix,AZ,topsphysicaltherapy.com,N/A
OSR Physical Therapy,Phoenix,AZ,osrphysicaltherapy.com,N/A
Smile LA Downtown Modern Dentistry,Los Angeles,CA,smilela.com,office@smilela.com
Los Angeles Dental Arts,Los Angeles,CA,losangelesdentalarts.com,N/A
Arthur A Kezian DDS,Los Angeles,CA,drkezian.com,N/A
Union Dental Center,Los Angeles,CA,uniondentalcenter.co,N/A
Marina Medspa,Los Angeles,CA,marinamedspa.com,N/A
Los Feliz Med Spa,Los Angeles,CA,losfelizmedspa.com,N/A
Rejuvify MedSpa,Los Angeles,CA,rejuvifymedspa.com,info@rejuvifymedspa.com
South Coast Med Spa,Los Angeles,CA,southcoastmedspa.com,N/A
Los Feliz Small Animal Hospital,Los Angeles,CA,lfsah.com,N/A
Angel City Animal Hospital,Los Angeles,CA,angelcityvet.com,angelcityvet@gmail.com
Restoration Dental OC,Orange,CA,restorationdentaloc.com,info@restorationdentaloc.com
Orange County Dental Care,Orange,CA,orangecounty-dentalcare.com,care@orangecounty-dentalcare.com
OC Healthy Smiles,Costa Mesa,CA,ochealthysmiles.com,N/A
Dr. Christopher J Fotinos,Orange,CA,drfotinos.com,info@drfotinos.com
Beauty Boost Med Spa,Newport Beach,CA,beautyboostmedspa.com,N/A
True Design Dentistry,San Diego,CA,truedesigndentistry.com,info@truedesigndentistry.com
Fifth Avenue Dental Arts,San Diego,CA,mydentistsandiego.com,N/A
Scripps Rock Dental,San Diego,CA,scrippsrockdental.com,N/A
San Diego Skin Medical Spa,La Jolla,CA,sandiegoskin.com,N/A
Revive Med Spa,San Diego,CA,revive.md,info@revive.md
Midway Optometry,San Diego,CA,midwayoptometry.com,midwayoptometry@gmail.com
Urban Optiks Optometry,San Diego,CA,uoosd.com,N/A
SOMA Dental,San Francisco,CA,somadental.com,info@somadental.com
Epi Center MedSpa,San Francisco,CA,epicentermedspa.com,info@epicentermedspa.com
Nob Hill Aesthetics,San Francisco,CA,nobhillaesthetics.com,Office@nobhillaesthetics.com
SELFISHLY Aesthetics and Wellness,San Francisco,CA,selfishlyaesthetics.com,guest@selfishlywellness.com
Urban Pet Hospital,San Francisco,CA,sfurbanpethospital.com,info@sfurbanpethospital.com
San Francisco Pet Hospital,San Francisco,CA,sfpethospital.com,N/A
